white,black,asian,other,hs,assoc,bach,post-bach,age,income,owner occ,renter occ,vacancy,year built,house value
3.89,92.22,0.0,2.81,14.73,1.38,5.99,0.0,23.9,17324.0,1.51,98.49,7.82,1971.0,
7.64,87.87,3.26,0.56,26.74,0.0,8.76,0.0,25.9,50147.0,38.94,61.06,19.43,1976.0,108800.0
14.36,65.85,8.41,8.93,32.23,2.05,1.59,1.52,30.0,26905.0,49.62,50.38,5.19,1975.0,123500.0
10.86,57.9,22.24,5.33,8.42,3.47,0.0,0.0,26.6,16555.0,17.09,82.91,14.01,1975.0,99600.0
60.31,34.61,1.67,1.57,16.47,7.94,13.71,6.7,36.8,49974.0,73.96,26.04,21.51,1971.0,151800.0
69.38,23.25,0.75,4.75,26.0,4.5,10.25,6.5,39.6,65385.0,72.02,27.98,0.0,1959.0,181500.0
80.65,11.83,5.24,2.15,19.76,4.84,18.01,1.21,46.1,69408.0,100.0,0.0,0.0,1960.0,181400.0
74.54,14.59,6.69,2.1,19.74,3.14,19.1,3.46,40.5,47679.0,96.21,3.79,16.53,1970.0,188000.0
81.34,12.49,4.44,0.45,18.89,3.01,12.72,19.49,46.6,58469.0,95.67,4.33,0.0,1968.0,180600.0
71.6,23.95,2.53,0.48,29.12,1.08,14.2,6.14,48.0,73558.0,81.71,18.29,0.0,1969.0,170900.0
43.18,44.27,8.57,1.56,23.77,6.7,9.12,6.24,31.6,47813.0,41.03,58.97,3.65,1976.0,175900.0
75.63,12.91,9.15,0.77,16.14,1.46,10.45,7.76,47.6,74276.0,93.91,6.09,7.6,1975.0,161500.0
41.98,39.58,16.5,0.46,15.88,0.0,18.13,12.78,38.3,45104.0,74.97,25.03,6.11,1981.0,131300.0
48.49,37.75,11.24,1.51,7.78,4.25,13.04,9.51,38.0,55395.0,93.13,6.87,8.27,1972.0,167500.0
61.09,27.51,7.36,1.28,16.95,1.71,29.74,3.3,45.2,81932.0,82.89,17.11,12.76,1961.0,158700.0
70.75,15.21,11.81,1.16,9.3,1.79,22.9,0.0,44.5,84071.0,87.17,12.83,0.0,1969.0,189500.0
69.5,18.19,9.57,0.67,9.03,3.48,31.84,7.49,47.0,102879.0,83.51,16.49,0.0,1972.0,215300.0
97.98,0.88,0.38,0.38,0.0,8.22,16.94,21.62,45.3,139904.0,100.0,0.0,4.53,1967.0,626800.0
76.65,13.44,7.65,0.81,2.42,0.81,27.48,23.4,31.0,52125.0,40.9,59.1,28.86,2003.0,516000.0
49.29,43.54,2.24,3.4,11.72,3.21,18.77,20.56,43.9,54440.0,82.94,17.06,7.41,1976.0,304400.0
75.93,16.78,4.12,1.44,7.77,0.77,10.83,13.81,36.0,52633.0,22.45,77.55,32.02,1981.0,235900.0
53.31,41.01,2.42,1.21,2.33,2.33,10.34,15.47,26.5,38846.0,5.42,94.58,34.85,1984.0,
82.53,14.89,1.34,0.67,15.12,5.26,17.02,8.51,46.8,41105.0,46.01,53.99,12.07,1967.0,151800.0
90.51,6.23,2.03,0.41,6.78,0.0,32.93,10.16,47.2,67929.0,89.98,10.02,0.0,1978.0,311300.0
79.88,16.75,1.6,0.59,1.6,1.6,25.76,15.15,43.3,45000.0,60.65,39.35,8.46,1982.0,302700.0
73.49,22.09,0.9,1.39,13.34,0.0,18.66,9.25,33.8,42074.0,26.21,73.79,13.75,1976.0,132300.0
75.98,19.7,1.82,0.68,11.44,1.67,30.76,11.82,35.0,60673.0,49.41,50.59,11.24,1979.0,286200.0
91.94,4.03,1.19,1.99,6.81,4.38,31.48,14.67,44.5,96563.0,93.04,6.96,13.01,1972.0,220000.0
72.92,19.67,5.35,0.41,5.51,8.23,15.23,20.25,34.0,73323.0,40.76,59.24,15.84,1984.0,157700.0
73.51,18.96,4.42,1.39,14.6,3.98,11.82,18.65,30.4,43646.0,32.96,67.04,26.42,1988.0,119700.0
84.05,9.52,1.44,2.66,9.08,4.65,5.98,13.95,36.5,46534.0,78.42,21.58,0.0,1979.0,228400.0
85.16,9.61,1.96,0.81,14.67,5.87,26.87,11.1,40.7,50469.0,75.38,24.62,0.0,1977.0,179900.0
69.07,24.45,4.27,0.61,14.29,2.92,18.78,9.57,33.3,51970.0,65.69,34.31,4.18,1999.0,267200.0
77.83,14.86,4.34,0.96,29.32,1.69,32.05,17.59,42.5,58507.0,91.6,8.4,0.0,1987.0,153000.0
18.19,74.26,1.25,4.4,6.74,3.81,7.58,0.53,26.0,19149.0,7.6,92.4,13.33,1981.0,137500.0
41.28,54.15,2.06,1.26,20.11,3.92,13.52,8.5,32.0,35417.0,47.21,52.79,18.35,1990.0,154900.0
72.67,18.49,5.65,1.6,17.81,2.4,18.92,8.48,43.6,62222.0,88.45,11.55,0.0,1977.0,170600.0
71.54,19.57,5.07,2.37,16.47,4.94,23.52,8.89,34.7,86765.0,72.52,27.48,7.83,1981.0,188800.0
76.22,14.47,6.56,0.81,12.5,2.88,24.68,9.6,39.6,105795.0,74.54,25.46,0.0,1990.0,227200.0
78.9,13.13,4.55,1.32,23.66,3.5,25.37,9.17,41.0,70726.0,76.08,23.92,0.0,1990.0,225800.0
65.05,30.01,3.04,0.95,3.73,0.0,27.32,4.42,40.8,61455.0,61.47,38.53,0.0,1981.0,237400.0
86.66,6.73,5.8,0.7,6.96,6.73,12.65,16.01,57.2,55208.0,78.38,21.62,0.0,1979.0,311400.0
56.14,36.8,3.03,1.66,14.24,3.26,21.13,6.53,32.0,41639.0,46.43,53.57,15.0,1990.0,302400.0
59.01,34.71,3.23,1.03,14.75,5.16,13.27,7.31,30.1,47692.0,44.77,55.23,14.92,1976.0,194700.0
64.25,28.58,2.85,1.95,16.86,1.87,16.86,4.48,30.6,45673.0,36.13,63.87,8.95,2001.0,171400.0
80.28,14.28,2.46,0.88,20.25,6.96,20.48,8.19,41.2,86969.0,89.06,10.94,0.0,1986.0,174700.0
